action,month,day,hour,count,sum,avg,std,step
TRANSFER,0,0,22,1059,433585089.25,409428.79,7765.63,22
CASH_OUT,0,0,22,4645,621375301.59,133772.94,1035.25,22
CASH_IN,0,0,23,5879,799769208.41,136038.31,1009.45,23
PAYMENT,0,0,23,2904,24218871.20,8339.83,86.40,23
DEBIT,0,0,23,181,1242108.63,6862.48,321.36,23
TRANSFER,0,0,23,625,266138189.34,425821.10,9624.11,23
CASH_OUT,0,0,23,2470,330580046.09,133838.08,1347.43,23
CASH_IN,0,1,0,2584,357400108.52,138312.74,1532.67,24
PAYMENT,0,1,0,1309,10913677.60,8337.42,130.62,24
DEBIT,0,1,0,88,685709.23,7792.15,540.58,24
TRANSFER,0,1,0,259,110879643.51,428106.73,15963.81,24
CASH_OUT,0,1,0,1175,161813160.85,137713.33,2012.79,24
CASH_IN,0,1,1,1384,199372410.39,144055.21,2157.36,25
PAYMENT,0,1,1,707,5585221.37,7899.89,171.74,25
DEBIT,0,1,1,47,243697.38,5185.05,593.39,25
TRANSFER,0,1,1,110,54946200.34,499510.91,25711.00,25
CASH_OUT,0,1,1,654,88750368.09,135703.93,2733.60,25
CASH_IN,0,1,2,293,43657940.72,149003.21,4923.42,26
PAYMENT,0,1,2,170,1341687.41,7892.28,304.77,26
DEBIT,0,1,2,7,15296.33,2185.19,831.29,26
TRANSFER,0,1,2,20,9951465.69,497573.28,157124.12,26
CASH_OUT,0,1,2,137,21341710.60,155778.91,23519.79,26
CASH_IN,0,1,3,12,1941825.13,161818.76,28607.51,27
PAYMENT,0,1,3,5,55505.25,11101.05,2415.82,27
TRANSFER,0,1,3,2,2486082.95,1243041.48,898567.73,27
CASH_OUT,0,1,3,3,2198775.23,732925.08,701521.38,27
TRANSFER,0,1,5,1,1377881.51,1377881.51,0.00,29
CASH_OUT,0,1,5,1,1377881.51,1377881.51,0.00,29
TRANSFER,0,1,6,1,2742432.17,2742432.17,0.00,30
CASH_OUT,0,1,6,1,2742432.17,2742432.17,0.00,30
TRANSFER,0,1,8,1,3199087.18,3199087.18,0.00,32
CASH_OUT,0,1,8,1,3199087.18,3199087.18,0.00,32
TRANSFER,0,1,9,2,498840.50,249420.25,352662.79,33
CASH_OUT,0,1,9,1,498790.50,498790.50,0.00,33
CASH_IN,0,1,10,1682,232714452.41,138355.80,1899.27,34
PAYMENT,0,1,10,774,6866710.71,8871.72,181.56,34
DEBIT,0,1,10,66,273839.61,4149.08,402.08,34
TRANSFER,0,1,10,187,89183238.39,476915.71,19709.91,34
CASH_OUT,0,1,10,891,122374555.36,137345.18,2373.56,34
CASH_IN,0,1,11,9200,1280602573.62,139195.93,813.78,35
PAYMENT,0,1,11,3786,33719312.19,8906.32,81.84,35
DEBIT,0,1,11,268,2823338.06,10534.84,476.69,35
TRANSFER,0,1,11,911,423377815.39,464739.64,9126.13,35
CASH_OUT,0,1,11,4128,559750951.54,135598.58,1061.64,35
CASH_IN,0,1,12,18260,2548306070.67,139556.74,579.46,36
PAYMENT,0,1,12,7924,69460112.48,8765.79,56.70,36
DEBIT,0,1,12,503,6222524.90,12370.82,404.69,36
TRANSFER,0,1,12,2235,957465401.10,428396.15,5536.07,36
CASH_OUT,0,1,12,8754,1198969184.65,136962.44,720.83,36
CASH_IN,0,1,13,10925,1528363440.21,139895.97,755.37,37
PAYMENT,0,1,13,4550,37863545.67,8321.66,70.92,37
DEBIT,0,1,13,316,3307899.34,10468.04,447.75,37
TRANSFER,0,1,13,1163,498621272.08,428737.12,7258.80,37
CASH_OUT,0,1,13,5360,726081490.82,135462.96,941.20,37
CASH_IN,0,1,14,9959,1393357825.34,139909.41,794.20,38
PAYMENT,0,1,14,4391,32355201.66,7368.53,61.20,38
DEBIT,0,1,14,297,1121748.91,3776.93,155.38,38
TRANSFER,0,1,14,1126,460190389.48,408694.84,7482.58,38
CASH_OUT,0,1,14,4965,662138816.40,133361.29,945.59,38
CASH_IN,0,1,15,5236,722478861.67,137982.98,1081.02,39
PAYMENT,0,1,15,2570,18433296.23,7172.49,81.35,39
DEBIT,0,1,15,192,1763576.38,9185.29,486.96,39
TRANSFER,0,1,15,625,289935736.66,463897.18,12196.56,39
CASH_OUT,0,1,15,2655,357005249.13,134465.25,1351.07,39
CASH_IN,0,1,16,15959,2230060171.68,139736.84,623.93,40
PAYMENT,0,1,16,7144,51754452.79,7244.46,47.75,40
DEBIT,0,1,16,514,5530014.34,10758.78,346.66,40
TRANSFER,0,1,16,2157,881543334.33,408689.54,5646.49,40
CASH_OUT,0,1,16,7986,1046306764.90,131017.63,887.25,40
CASH_IN,0,1,17,13871,1934705844.39,139478.47,667.68,41
PAYMENT,0,1,17,6801,46819247.28,6884.17,46.41,41
DEBIT,0,1,17,485,5050754.19,10413.93,340.20,41
TRANSFER,0,1,17,1929,786678089.04,407816.53,5951.62,41
CASH_OUT,0,1,17,7302,922001768.02,126267.02,926.40,41
CASH_IN,0,1,18,16271,2231864767.86,137168.26,605.61,42
PAYMENT,0,1,18,8404,56734841.42,6750.93,41.63,42
DEBIT,0,1,18,598,7620646.63,12743.56,370.72,42
TRANSFER,0,1,18,2394,982043993.31,410210.52,5375.58,42
CASH_OUT,0,1,18,9126,1120707474.26,122803.80,695.13,42
CASH_IN,0,1,19,16242,2209695247.46,136048.22,602.84,43
PAYMENT,0,1,19,8708,70937626.99,8146.26,50.98,43
DEBIT,0,1,19,636,3160298.36,4969.02,129.50,43
TRANSFER,0,1,19,2466,1128038015.45,457436.34,5685.75,43
CASH_OUT,0,1,19,9674,1209160865.50,124990.79,722.73,43
CASH_IN,0,1,20,13831,1893338926.79,136890.96,652.38,44
PAYMENT,0,1,20,7703,71505905.27,9282.86,61.65,44
DEBIT,0,1,20,571,2402456.45,4207.45,112.88,44
TRANSFER,0,1,20,1999,1109062292.78,554808.55,7258.11,44
CASH_OUT,0,1,20,7948,1048714069.73,131946.91,741.36,44
CASH_IN,0,1,21,10860,1480978254.01,136370.00,750.49,45
PAYMENT,0,1,21,6374,58983737.42,9253.80,67.57,45
DEBIT,0,1,21,422,1885983.86,4469.16,139.05,45
TRANSFER,0,1,21,1526,742528021.19,486584.55,7603.84,45
CASH_OUT,0,1,21,6217,818794670.58,131702.54,835.60,45
CASH_IN,0,1,22,9372,1281264211.49,136711.93,806.03,46
PAYMENT,0,1,22,5882,53377091.86,9074.65,70.10,46
DEBIT,0,1,22,406,1466652.79,3612.45,123.78,46
TRANSFER,0,1,22,1349,663755665.61,492035.33,8173.62,46
CASH_OUT,0,1,22,5449,718851945.88,131923.65,905.35,46
CASH_IN,0,1,23,6388,887317476.64,138903.80,997.15,47
PAYMENT,0,1,23,4327,37131343.75,8581.31,75.65,47
DEBIT,0,1,23,306,1736239.14,5673.98,212.56,47
TRANSFER,0,1,23,919,402164220.63,437610.69,9244.03,47
CASH_OUT,0,1,23,3733,498441656.93,133523.08,1581.76,47
CASH_IN,0,2,0,4521,637037406.60,140906.31,1166.77,48
PAYMENT,0,2,0,3126,25981224.35,8311.33,86.89,48
DEBIT,0,2,0,226,956553.19,4232.54,172.46,48
TRANSFER,0,2,0,639,281659538.71,440781.75,11658.62,48
CASH_OUT,0,2,0,2702,364490027.65,134896.38,1880.94,48
CASH_IN,0,2,1,485,70444507.57,145246.41,3462.97,49
PAYMENT,0,2,1,374,3042019.91,8133.74,244.63,49
DEBIT,0,2,1,26,130293.57,5011.29,576.97,49
TRANSFER,0,2,1,87,43381237.32,498634.91,47547.61,49
CASH_OUT,0,2,1,329,48010366.27,145928.16,11597.93,49
TRANSFER,0,2,4,3,8361872.93,2787290.98,413528.50,52
CASH_OUT,0,2,4,3,8361872.93,2787290.98,413528.50,52
TRANSFER,0,2,6,4,6680471.35,1670117.84,802725.63,54
CASH_OUT,0,2,6,3,6680451.35,2226817.12,721170.38,54
TRANSFER,0,2,9,1,678240.47,678240.47,0.00,57
CASH_OUT,0,2,9,1,678240.47,678240.47,0.00,57
TRANSFER,0,2,12,1,3186640.13,3186640.13,0.00,60
CASH_OUT,0,2,12,1,3186640.13,3186640.13,0.00,60
TRANSFER,0,2,13,1,2409978.46,2409978.46,0.00,61
CASH_OUT,0,2,13,1,2409978.46,2409978.46,0.00,61
TRANSFER,0,2,15,1,2074177.11,2074177.11,0.00,63
CASH_OUT,0,2,15,1,2074177.11,2074177.11,0.00,63
TRANSFER,0,2,16,3,4034839.91,1344946.64,1356147.96,64
CASH_OUT,0,2,16,2,4034789.91,2017394.95,2154861.66,64
TRANSFER,0,2,17,1,3295670.74,3295670.74,0.00,65
CASH_OUT,0,2,17,1,3295670.74,3295670.74,0.00,65
TRANSFER,0,2,19,3,5406891.22,1802297.07,1268146.16,67
CASH_OUT,0,2,19,3,5406891.22,1802297.07,1268146.16,67
TRANSFER,0,2,22,2,4873456.64,2436728.32,3446025.95,70
CASH_OUT,0,2,22,1,4873436.64,4873436.64,0.00,70
TRANSFER,0,2,23,1,10.00,10.00,0.00,71
TRANSFER,0,3,1,1,3116509.71,3116509.71,0.00,73
CASH_OUT,0,3,1,1,3116509.71,3116509.71,0.00,73
TRANSFER,0,3,3,3,943307.89,314435.96,385067.09,75
CASH_OUT,0,3,3,1,943247.89,943247.89,0.00,75
TRANSFER,0,3,4,1,2963030.68,2963030.68,0.00,76
CASH_OUT,0,3,4,1,2963030.68,2963030.68,0.00,76
TRANSFER,0,3,5,3,40.00,13.33,4.08,77
TRANSFER,0,3,7,2,6229141.77,3114570.88,291506.28,79
CASH_OUT,0,3,7,2,6229141.77,3114570.88,291506.28,79
TRANSFER,0,3,8,2,2322473.81,1161236.90,1642208.69,80
CASH_OUT,0,3,8,1,2322453.81,2322453.81,0.00,80
TRANSFER,0,3,10,3,12331679.58,4110559.86,229383.46,82
CASH_OUT,0,3,10,3,12331679.58,4110559.86,229383.46,82
TRANSFER,0,3,11,1,6159202.12,6159202.12,0.00,83
CASH_OUT,0,3,11,1,6159202.12,6159202.12,0.00,83
TRANSFER,0,3,12,2,30.00,15.00,7.07,84
TRANSFER,0,3,14,1,247479.32,247479.32,0.00,86
CASH_OUT,0,3,14,1,247479.32,247479.32,0.00,86
TRANSFER,0,3,15,1,2730698.49,2730698.49,0.00,87
CASH_OUT,0,3,15,1,2730698.49,2730698.49,0.00,87
TRANSFER,0,3,16,1,3354154.46,3354154.46,0.00,88
CASH_OUT,0,3,16,1,3354154.46,3354154.46,0.00,88
TRANSFER,0,3,17,3,5929020.87,1976340.29,1214963.92,89
CASH_OUT,0,3,17,2,5929010.87,2964505.44,213839.13,89
TRANSFER,0,3,19,2,30.00,15.00,7.07,91
CASH_IN,0,3,21,2669,366188154.32,137200.51,1501.76,93
PAYMENT,0,3,21,1711,15423183.78,9014.13,130.92,93
DEBIT,0,3,21,114,510203.73,4475.47,305.10,93
TRANSFER,0,3,21,409,185067836.72,452488.60,19271.40,93
CASH_OUT,0,3,21,1938,265059432.02,136769.57,3691.33,93
CASH_IN,0,3,22,7200,975971941.26,135551.66,911.11,94
PAYMENT,0,3,22,4652,41793228.57,8983.93,74.67,94
DEBIT,0,3,22,310,1317227.73,4249.12,163.76,94
TRANSFER,0,3,22,1009,420319456.25,416570.32,7998.19,94
CASH_OUT,0,3,22,4416,578098053.46,130909.89,1008.95,94
CASH_IN,0,3,23,5548,776983591.46,140047.51,1036.64,95
PAYMENT,0,3,23,3772,34593046.97,9171.01,85.01,95
DEBIT,0,3,23,245,965319.14,3940.08,179.56,95
TRANSFER,0,3,23,814,349523211.19,429389.69,8974.43,95
CASH_OUT,0,3,23,3345,441726433.68,132055.74,1167.87,95
CASH_IN,0,4,0,4860,674323962.22,138749.79,1132.43,96
PAYMENT,0,4,0,3477,30846554.94,8871.60,91.43,96
DEBIT,0,4,0,239,670509.13,2805.48,122.17,96
TRANSFER,0,4,0,716,300288801.99,419397.77,10412.78,96
CASH_OUT,0,4,0,2934,393573223.40,134142.20,1691.07,96
CASH_IN,0,4,1,320,47551554.49,148598.61,4261.38,97
PAYMENT,0,4,1,307,2924140.01,9524.89,298.42,97
DEBIT,0,4,1,19,37854.77,1992.36,210.09,97
TRANSFER,0,4,1,65,27246091.06,419170.63,29244.19,97
CASH_OUT,0,4,1,191,24652531.40,129070.85,4965.30,97
TRANSFER,0,4,2,1,3798880.49,3798880.49,0.00,98
CASH_OUT,0,4,2,1,3798880.49,3798880.49,0.00,98
TRANSFER,0,4,4,2,6360075.37,3180037.68,514799.64,100
CASH_OUT,0,4,4,2,6360075.37,3180037.68,514799.64,100
TRANSFER,0,4,5,2,8744075.88,4372037.94,1305954.56,101
CASH_OUT,0,4,5,2,8744075.88,4372037.94,1305954.56,101
TRANSFER,0,4,6,2,4545086.83,2272543.41,980125.44,102
CASH_OUT,0,4,6,2,4545086.83,2272543.41,980125.44,102
TRANSFER,0,4,7,1,3505722.73,3505722.73,0.00,103
CASH_OUT,0,4,7,1,3505722.73,3505722.73,0.00,103
TRANSFER,0,4,8,2,210.00,105.00,134.35,104
TRANSFER,0,4,10,1,3103380.24,3103380.24,0.00,106
CASH_OUT,0,4,10,1,3103380.24,3103380.24,0.00,106
TRANSFER,0,4,11,2,7325708.11,3662854.06,527137.42,107
CASH_OUT,0,4,11,2,7325708.11,3662854.06,527137.42,107
TRANSFER,0,4,13,2,6306096.91,3153048.46,464462.32,109
CASH_OUT,0,4,13,2,6306096.91,3153048.46,464462.32,109
TRANSFER,0,4,14,1,3966178.02,3966178.02,0.00,110
CASH_OUT,0,4,14,1,3966178.02,3966178.02,0.00,110
TRANSFER,0,4,17,1,20.00,20.00,0.00,113
TRANSFER,0,4,22,1,20.00,20.00,0.00,118
CASH_IN,0,4,23,4371,597251529.17,136639.56,1162.35,119
PAYMENT,0,4,23,3155,27956911.95,8861.14,92.30,119
DEBIT,0,4,23,211,632566.01,2997.94,142.17,119
TRANSFER,0,4,23,676,278867996.85,412526.62,11252.04,119
CASH_OUT,0,4,23,2638,356523823.01,135149.29,2229.78,119
CASH_IN,0,5,0,2148,288100367.77,134124.94,1680.07,120
PAYMENT,0,5,0,1574,13798628.54,8766.60,129.40,120
DEBIT,0,5,0,120,645654.43,5380.45,306.42,120
TRANSFER,0,5,0,353,142285995.04,403076.47,11568.54,120
CASH_OUT,0,5,0,1412,185922673.33,131673.28,1817.22,120
CASH_IN,0,5,1,645,88574597.39,137324.96,2934.88,121
PAYMENT,0,5,1,550,5082036.91,9240.07,231.69,121
DEBIT,0,5,1,57,139093.32,2440.23,305.56,121
TRANSFER,0,5,1,98,39300505.39,401025.57,32392.64,121
CASH_OUT,0,5,1,578,79522020.69,137581.35,5055.28,121
CASH_IN,0,5,2,171,24299870.57,142104.51,6070.28,122
PAYMENT,0,5,2,127,1078901.85,8495.29,467.17,122
DEBIT,0,5,2,13,38928.10,2994.47,737.73,122
TRANSFER,0,5,2,17,11855665.38,697392.08,241403.77,122
CASH_OUT,0,5,2,161,29213531.74,181450.51,27793.82,122
CASH_IN,0,5,3,13,1738419.07,133724.54,25541.77,123
PAYMENT,0,5,3,7,58350.17,8335.74,1482.70,123
TRANSFER,0,5,3,2,70.00,35.00,21.21,123
CASH_OUT,0,5,3,5,511748.46,102349.69,32909.37,123
TRANSFER,0,5,4,1,3187058.77,3187058.77,0.00,124
CASH_OUT,0,5,4,1,3187058.77,3187058.77,0.00,124
TRANSFER,0,5,5,1,3289203.84,3289203.84,0.00,125
CASH_OUT,0,5,5,1,3289203.84,3289203.84,0.00,125
TRANSFER,0,5,6,3,10124930.89,3374976.96,621723.02,126
CASH_OUT,0,5,6,3,10124930.89,3374976.96,621723.02,126
TRANSFER,0,5,8,2,4145875.80,2072937.90,2385137.12,128
CASH_OUT,0,5,8,2,4145875.80,2072937.90,2385137.12,128
TRANSFER,0,5,9,1,3980415.62,3980415.62,0.00,129
CASH_OUT,0,5,9,1,3980415.62,3980415.62,0.00,129
TRANSFER,0,5,10,2,3728530.40,1864265.20,2636440.84,130
CASH_OUT,0,5,10,1,3728510.40,3728510.40,0.00,130
CASH_IN,0,5,12,5,714853.11,142970.62,45848.99,132
PAYMENT,0,5,12,1,2963.48,2963.48,0.00,132
CASH_IN,0,5,13,2618,376571984.09,143839.57,1581.67,133
PAYMENT,0,5,13,1608,15961508.13,9926.31,142.98,133
DEBIT,0,5,13,137,519383.82,3791.12,200.42,133
TRANSFER,0,5,13,386,167618118.26,434243.83,14233.30,133
CASH_OUT,0,5,13,1959,269416159.87,137527.39,1981.55,133
CASH_IN,0,5,14,5933,830720574.58,140016.95,1024.90,134
PAYMENT,0,5,14,3464,34084277.99,9839.57,94.93,134
DEBIT,0,5,14,295,1224281.37,4150.11,182.80,134
TRANSFER,0,5,14,923,416177328.09,450896.35,9419.21,134
CASH_OUT,0,5,14,4090,556309317.00,136016.95,1406.62,134
CASH_IN,0,5,15,5335,761102450.06,142662.13,1128.85,135
PAYMENT,0,5,15,3015,26704401.71,8857.18,90.79,135
DEBIT,0,5,15,212,880818.98,4154.81,183.35,135
TRANSFER,0,5,15,856,403971775.06,471929.64,10349.38,135
CASH_OUT,0,5,15,3443,456998178.33,132732.55,1168.08,135
CASH_IN,0,5,16,9441,1339265380.08,141856.31,816.94,136
PAYMENT,0,5,16,5552,48061093.15,8656.54,65.39,136
DEBIT,0,5,16,391,1535203.41,3926.35,143.51,136
TRANSFER,0,5,16,1579,670503177.33,424637.86,6700.84,136
CASH_OUT,0,5,16,6324,809455456.52,127997.38,996.56,136
CASH_IN,0,5,17,10064,1405542121.41,139660.39,789.83,137
PAYMENT,0,5,17,6085,53330183.84,8764.20,62.56,137
DEBIT,0,5,17,433,1774089.23,4097.20,134.83,137
TRANSFER,0,5,17,1696,697070419.19,411008.50,6105.95,137
CASH_OUT,0,5,17,6730,838200634.13,124546.90,754.18,137
CASH_IN,0,5,18,8395,1160925543.34,138287.74,848.10,138
PAYMENT,0,5,18,5199,42964165.76,8263.93,66.12,138
DEBIT,0,5,18,333,1127942.23,3387.21,133.10,138
TRANSFER,0,5,18,1416,626812308.07,442664.06,7342.65,138
CASH_OUT,0,5,18,5802,714013284.08,123063.30,793.64,138
CASH_IN,0,5,19,17478,2398946320.99,137255.20,590.18,139
PAYMENT,0,5,19,11099,88961614.64,8015.28,42.31,139
DEBIT,0,5,19,791,3310678.45,4185.43,94.45,139
TRANSFER,0,5,19,2968,1387354591.41,467437.53,5256.01,139
CASH_OUT,0,5,19,12020,1502099780.95,124966.70,564.47,139
CASH_IN,0,5,20,13096,1805446949.27,137862.47,680.95,140
PAYMENT,0,5,20,8574,66510323.53,7757.21,47.34,140
DEBIT,0,5,20,636,2400042.68,3773.65,104.83,140
TRANSFER,0,5,20,2152,1026966357.91,477214.85,6283.26,140
CASH_OUT,0,5,20,8916,1159318353.41,130026.73,792.48,140
CASH_IN,0,5,21,10448,1440909711.79,137912.49,767.04,141
PAYMENT,0,5,21,7054,55189235.53,7823.82,52.57,141
DEBIT,0,5,21,480,1722221.77,3587.96,106.99,141
TRANSFER,0,5,21,1862,925384299.48,496984.05,7070.75,141
CASH_OUT,0,5,21,6826,908377356.52,133076.09,799.41,141
CASH_IN,0,5,22,8139,1111363426.34,136547.91,860.66,142
PAYMENT,0,5,22,5932,46786202.18,7887.09,57.28,142
DEBIT,0,5,22,423,1971399.31,4660.52,156.54,142
TRANSFER,0,5,22,1437,630033893.42,438436.95,7257.77,142
CASH_OUT,0,5,22,5468,730548250.19,133604.29,1078.73,142
CASH_IN,0,5,23,5150,703705067.33,136641.76,1087.40,143
PAYMENT,0,5,23,4072,29374341.39,7213.74,64.06,143
DEBIT,0,5,23,303,1127725.12,3721.87,162.47,143
TRANSFER,0,5,23,858,356207975.54,415160.81,8787.72,143
CASH_OUT,0,5,23,3417,443359948.27,129751.23,1099.47,143
CASH_IN,0,6,0,2449,341970574.33,139636.82,1641.31,144
PAYMENT,0,6,0,2056,15346186.38,7464.10,95.05,144
DEBIT,0,6,0,134,764961.38,5708.67,341.06,144
TRANSFER,0,6,0,433,167674738.51,387239.58,14596.90,144
CASH_OUT,0,6,0,1787,241074161.26,134904.40,2963.34,144
CASH_IN,0,6,1,631,87104503.77,138042.00,2961.15,145
PAYMENT,0,6,1,577,4157319.19,7205.06,166.69,145
DEBIT,0,6,1,38,128630.31,3385.01,230.05,145
TRANSFER,0,6,1,120,47329586.81,394413.22,19129.54,145
CASH_OUT,0,6,1,565,73010744.55,129222.56,2841.84,145
CASH_IN,0,6,2,258,35554105.24,137806.61,4876.57,146
PAYMENT,0,6,2,191,1353100.41,7084.30,270.60,146
DEBIT,0,6,2,21,72725.87,3463.14,685.45,146
TRANSFER,0,6,2,27,14944314.62,553493.13,181560.22,146
CASH_OUT,0,6,2,233,38291077.84,164339.39,21715.80,146
CASH_IN,0,6,3,51,8342061.72,163569.84,11333.50,147
PAYMENT,0,6,3,31,201905.48,6513.08,734.16,147
DEBIT,0,6,3,5,11662.65,2332.53,343.81,147
TRANSFER,0,6,3,2,563238.95,281619.48,50853.12,147
